from_stop_id,to_stop_id,transfer_type,min_transfer_time
6133,12395,2,300
11882,8057,2,300
9293,9292,,
359,596,,
1258,2035,,
6610,6753,2,360
1567,1692,,
785,1147,2,360
11280,1586,2,300
2766,1858,2,360
5762,6469,2,300
3195,3769,,
7777,8028,2,120
1387,12318,2,300
6942,6741,,
1152,1575,2,360
10886,10889,,
11087,486,2,360
2015,10330,,
4463,12683,2,360
5465,5593,2,540
10145,9283,,
8757,8680,,
906,8761,2,420
11535,96,2,420
8755,8689,,
7650,11559,2,360
669,701,,
8073,11588,2,300
1459,1413,2,360
2765,1559,,
12716,6512,2,300
5250,5869,,
11273,985,2,360
3334,3533,,
11441,77,2,360
11288,11268,,
8073,8763,2,360
8060,5793,2,300
6470,6006,2,300
3195,3334,,
8066,2477,,
96,8019,2,540
8577,10564,,
8078,12138,2,600
5601,6464,,
6139,11704,2,480
11808,11798,,
9112,409,2,360
11303,12036,2,420
4143,4474,,
6808,6648,,
8691,8672,,
8654,5805,,
838,650,,
11286,11251,,
10866,10865,,
3204,3906,,
6587,6808,,
8021,3067,2,120
7743,7827,,
5069,5250,,
2630,2799,,
10753,4005,2,360
8062,5890,,
11221,11087,2,360
5176,5900,,
8140,1387,2,120
10860,12020,,
4010,12735,2,360
12230,11943,,
12437,7106,2,360
1254,12667,2,300
8575,8578,,
11088,11087,,
8754,8044,2,360
11882,8060,2,300
11589,8763,2,300
497,442,2,360
984,4882,2,360
5769,10880,,
78,11438,2,480
985,1016,2,300
11866,4660,,
1350,11011,,
11227,11260,2,480
95,8035,2,600
984,76,2,600
12688,1761,2,120
10881,5768,2,300
4917,4918,2,360
3419,3361,,
8738,8743,2,420
5285,5410,2,300
4163,4381,2,120
10866,4459,2,120
30,45,2,300
5242,5218,2,480
1075,1076,2,300
1172,1170,2,480
287,392,2,300
8687,8676,,
4143,1775,2,120
11259,12232,2,360
12671,381,2,300
11638,80,2,300
5436,6139,2,300
7095,7166,,
12020,12022,,
1065,8071,,
3954,3333,2,300
11682,1430,,
236,10352,2,300
4381,4163,2,120
31,985,2,600
11876,11877,,
3428,429,2,360
8066,10429,,
782,12513,,
10966,549,,
8034,11438,2,420
549,10967,2,360
2004,1838,,
11524,11272,2,360
11958,11950,,
3394,3906,,
5067,11130,,
11882,5667,2,300
3903,9240,2,420
1137,1617,2,300
4881,9128,2,480
8053,11710,,
12584,11282,2,360
96,4882,2,120
898,728,,
12636,7804,2,300
4881,10399,2,300
8617,9582,2,300
1614,11793,2,480
4489,12683,2,300
10196,12725,2,540
5805,5287,2,360
10067,10440,2,420
5701,5594,2,360
12548,11087,2,300
4191,4243,,
9255,3965,,
9379,3064,2,360
718,797,2,300
12749,887,2,300
5242,6738,2,360
5659,5117,,
9103,2156,2,300
10860,12332,,
5633,11858,,
1160,1187,2,300
3515,3594,2,420
812,195,2,300
12683,11639,2,300
11279,12548,2,300
4514,4243,2,300
994,10745,,
1327,2227,2,540
5255,5065,,
7100,5380,,
2047,10812,,
5216,7591,2,120
3204,3053,,
2717,2523,,
5781,11135,,
3195,3904,,
10736,10703,2,300
3195,3927,,
11932,8283,2,600
12600,12363,2,300
1442,2263,,
8068,2016,2,300
5561,5583,,
1659,1643,,
11701,5059,2,480
30,4883,2,600
6114,5803,,
5077,11629,2,480
2323,2266,,
8047,8563,,
6215,6280,,
3594,3449,2,300
5756,5781,,
908,2123,,
10429,2630,,
6730,12205,2,360
3334,3067,,
5715,11133,,
6455,5244,,
11714,11710,,
2692,3023,,
5826,5287,2,360
30,9128,2,360
3723,10569,2,480
10363,12523,,
10819,12054,,
56,114,,
12409,8068,,
12580,8028,2,120
10631,11352,2,300
3129,1875,,
11628,5077,2,480
6736,7469,2,120
4043,4228,,
1316,654,2,300
12134,838,2,300
1147,785,2,360
3315,12267,2,300
11282,627,2,300
11805,11808,,
8041,4494,2,480
2630,8066,,
10189,6039,,
10888,10889,,
11256,11267,,
3904,3906,,
9112,12681,2,420
938,35,2,300
963,1482,,
8021,3053,2,120
3411,3443,2,300
2004,1824,,
3831,3878,2,300
7328,7261,2,360
1482,8139,,
8060,11882,2,300
10888,12655,,
3023,10429,2,120
659,709,2,300
5769,5891,,
2742,1709,2,300
451,1775,2,120
695,8072,,
10880,8060,,
12688,1775,2,120
8644,1451,2,360
210,1519,,
8688,8689,,
9952,8756,,
12020,8020,2,120
7732,11976,,
4925,5615,2,360
8763,1231,2,300
9562,6823,,
8394,766,,
6139,6174,,
9530,361,2,360
5769,5768,,
7449,7450,2,120
5389,10671,,
452,4381,2,120
6456,5769,2,300
10866,4568,2,120
6949,2101,2,300
5230,5553,,
3719,10567,2,480
12036,4882,2,480
5474,11077,2,360
9987,1622,,
1092,902,,
7154,8952,2,360
1276,122,2,300
110,322,,
6456,5122,2,120
11860,5700,,
2717,8068,2,360
8034,40,2,480
202,287,2,300
4143,1761,2,120
1387,8139,2,300
7214,7095,2,120
11256,11788,,
8687,8685,,
10884,8056,2,300
1160,1648,2,300
5828,6114,,
185,524,2,420
60,110,,
93,81,2,420
1355,1202,2,360
7685,7703,2,300
1865,10092,2,300
251,11020,,
11874,11877,2,300
3195,11229,,
8283,8484,2,420
11273,11774,2,420
11589,8754,2,300
7666,10299,2,420
11268,11788,,
1429,11911,,
7207,5352,,
12064,12066,2,360
12670,199,2,360
11352,11357,,
7259,7095,2,120
1018,767,,
10465,415,2,420
4010,4045,2,300
8036,4568,2,120
4489,9543,,
12537,8563,,
3394,3769,,
4381,4143,2,120
659,1130,2,300
9125,1410,,
1648,1160,2,300
9530,318,,
8066,2692,,
6467,11882,,
